cd parallel && go test -count=3 -run=^$ -bench ^BenchmarkDoCPUBoundWorkV4$ .
goos: linux
goarch: amd64
pkg: github.com/chrisjpalmer/techblog/playground/parallelism_in_go/parallel
cpu: Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
BenchmarkDoCPUBoundWorkV4/workers_25-12        	      75	  16137660 ns/op
BenchmarkDoCPUBoundWorkV4/workers_26-12        	      74	  15839977 ns/op
BenchmarkDoCPUBoundWorkV4/workers_26-12        	      74	  15815826 ns/op
BenchmarkDoCPUBoundWorkV4/workers_26-12        	      63	  16148348 ns/op
BenchmarkDoCPUBoundWorkV4/workers_27-12        	      73	  15837649 ns/op
BenchmarkDoCPUBoundWorkV4/workers_27-12        	      75	  16180805 ns/op
BenchmarkDoCPUBoundWorkV4/workers_27-12        	      75	  15865243 ns/op
BenchmarkDoCPUBoundWorkV4/workers_28-12        	      75	  15871756 ns/op
BenchmarkDoCPUBoundWorkV4/workers_28-12        	      73	  16189767 ns/op
BenchmarkDoCPUBoundWorkV4/workers_28-12        	      68	  15856150 ns/op
BenchmarkDoCPUBoundWorkV4/workers_29-12        	      76	  15888595 ns/op
BenchmarkDoCPUBoundWorkV4/workers_29-12        	      75	  16234369 ns/op
BenchmarkDoCPUBoundWorkV4/workers_29-12        	      73	  15876305 ns/op
BenchmarkDoCPUBoundWorkV4/workers_30-12        	      75	  16173067 ns/op
BenchmarkDoCPUBoundWorkV4/workers_30-12        	      74	  15815415 ns/op
BenchmarkDoCPUBoundWorkV4/workers_30-12        	      76	  15926846 ns/op
BenchmarkDoCPUBoundWorkV4/workers_31-12        	      73	  16168040 ns/op
BenchmarkDoCPUBoundWorkV4/workers_31-12        	      73	  15901012 ns/op
BenchmarkDoCPUBoundWorkV4/workers_31-12        	      75	  15928959 ns/op
BenchmarkDoCPUBoundWorkV4/workers_32-12        	      74	  16226654 ns/op
BenchmarkDoCPUBoundWorkV4/workers_32-12        	      75	  15864873 ns/op
BenchmarkDoCPUBoundWorkV4/workers_32-12        	      74	  16180104 ns/op
BenchmarkDoCPUBoundWorkV4/workers_33-12        	      75	  15853867 ns/op
BenchmarkDoCPUBoundWorkV4/workers_33-12        	      74	  15886422 ns/op
BenchmarkDoCPUBoundWorkV4/workers_33-12        	      73	  16211384 ns/op
BenchmarkDoCPUBoundWorkV4/workers_34-12        	      72	  15837840 ns/op
BenchmarkDoCPUBoundWorkV4/workers_34-12        	      74	  15919981 ns/op
BenchmarkDoCPUBoundWorkV4/workers_34-12        	      64	  16185617 ns/op
BenchmarkDoCPUBoundWorkV4/workers_35-12        	      76	  15875889 ns/op
BenchmarkDoCPUBoundWorkV4/workers_35-12        	      75	  16221684 ns/op
BenchmarkDoCPUBoundWorkV4/workers_35-12        	      76	  15883757 ns/op
BenchmarkDoCPUBoundWorkV4/workers_36-12        	      75	  15869615 ns/op
BenchmarkDoCPUBoundWorkV4/workers_36-12        	      74	  16241123 ns/op
BenchmarkDoCPUBoundWorkV4/workers_36-12        	      72	  15885779 ns/op
BenchmarkDoCPUBoundWorkV4/workers_37-12        	      75	  15930571 ns/op
BenchmarkDoCPUBoundWorkV4/workers_37-12        	      64	  16175325 ns/op
BenchmarkDoCPUBoundWorkV4/workers_37-12        	      75	  15994815 ns/op
BenchmarkDoCPUBoundWorkV4/workers_38-12        	      74	  16261336 ns/op
BenchmarkDoCPUBoundWorkV4/workers_38-12        	      74	  15875981 ns/op
BenchmarkDoCPUBoundWorkV4/workers_38-12        	      72	  15832040 ns/op
BenchmarkDoCPUBoundWorkV4/workers_39-12        	      72	  16210440 ns/op
BenchmarkDoCPUBoundWorkV4/workers_39-12        	      75	  15891272 ns/op
BenchmarkDoCPUBoundWorkV4/workers_39-12        	      75	  15881167 ns/op
BenchmarkDoCPUBoundWorkV4/workers_40-12        	      73	  16219379 ns/op
BenchmarkDoCPUBoundWorkV4/workers_40-12        	      72	  17026801 ns/op
BenchmarkDoCPUBoundWorkV4/workers_40-12        	      64	  16898364 ns/op
BenchmarkDoCPUBoundWorkV4/workers_41-12        	      76	  15849214 ns/op
BenchmarkDoCPUBoundWorkV4/workers_41-12        	      75	  15834408 ns/op
BenchmarkDoCPUBoundWorkV4/workers_41-12        	      75	  16308460 ns/op
BenchmarkDoCPUBoundWorkV4/workers_42-12        	      76	  15869009 ns/op
BenchmarkDoCPUBoundWorkV4/workers_42-12        	      74	  15953158 ns/op
BenchmarkDoCPUBoundWorkV4/workers_42-12        	      63	  16175146 ns/op
BenchmarkDoCPUBoundWorkV4/workers_43-12        	      74	  15807277 ns/op
BenchmarkDoCPUBoundWorkV4/workers_43-12        	      75	  16182731 ns/op
BenchmarkDoCPUBoundWorkV4/workers_43-12        	      74	  15881070 ns/op
BenchmarkDoCPUBoundWorkV4/workers_44-12        	      76	  15899070 ns/op
BenchmarkDoCPUBoundWorkV4/workers_44-12        	      75	  16143349 ns/op
BenchmarkDoCPUBoundWorkV4/workers_44-12        	      76	  15883232 ns/op
BenchmarkDoCPUBoundWorkV4/workers_45-12        	      75	  15936209 ns/op
BenchmarkDoCPUBoundWorkV4/workers_45-12        	      63	  16227332 ns/op
BenchmarkDoCPUBoundWorkV4/workers_45-12        	      73	  15892973 ns/op
BenchmarkDoCPUBoundWorkV4/workers_46-12        	      76	  16244628 ns/op
BenchmarkDoCPUBoundWorkV4/workers_46-12        	      74	  15919845 ns/op
BenchmarkDoCPUBoundWorkV4/workers_46-12        	      75	  15837061 ns/op
BenchmarkDoCPUBoundWorkV4/workers_47-12        	      75	  16177299 ns/op
BenchmarkDoCPUBoundWorkV4/workers_47-12        	      75	  15849097 ns/op
BenchmarkDoCPUBoundWorkV4/workers_47-12        	      74	  15854645 ns/op
BenchmarkDoCPUBoundWorkV4/workers_48-12        	      72	  16274922 ns/op
BenchmarkDoCPUBoundWorkV4/workers_48-12        	      75	  15920300 ns/op
BenchmarkDoCPUBoundWorkV4/workers_48-12        	      76	  16222899 ns/op
BenchmarkDoCPUBoundWorkV4/workers_49-12        	      76	  15879420 ns/op
BenchmarkDoCPUBoundWorkV4/workers_49-12        	      74	  15886546 ns/op
BenchmarkDoCPUBoundWorkV4/workers_49-12        	      75	  16228932 ns/op
BenchmarkDoCPUBoundWorkV4/workers_50-12        	      75	  15899077 ns/op
BenchmarkDoCPUBoundWorkV4/workers_50-12        	      70	  16081610 ns/op
BenchmarkDoCPUBoundWorkV4/workers_50-12        	      64	  16072386 ns/op
BenchmarkDoCPUBoundWorkV4/workers_51-12        	      74	  15902388 ns/op
BenchmarkDoCPUBoundWorkV4/workers_51-12        	      74	  16159309 ns/op
BenchmarkDoCPUBoundWorkV4/workers_51-12        	      75	  15893208 ns/op
BenchmarkDoCPUBoundWorkV4/workers_52-12        	      74	  15964903 ns/op
BenchmarkDoCPUBoundWorkV4/workers_52-12        	      76	  16324029 ns/op
BenchmarkDoCPUBoundWorkV4/workers_52-12        	      75	  15920116 ns/op
BenchmarkDoCPUBoundWorkV4/workers_53-12        	      75	  15966783 ns/op
BenchmarkDoCPUBoundWorkV4/workers_53-12        	      62	  16143987 ns/op
BenchmarkDoCPUBoundWorkV4/workers_53-12        	      76	  15942968 ns/op
BenchmarkDoCPUBoundWorkV4/workers_54-12        	      73	  16153585 ns/op
BenchmarkDoCPUBoundWorkV4/workers_54-12        	      76	  15915796 ns/op
BenchmarkDoCPUBoundWorkV4/workers_54-12        	      78	  15966064 ns/op
BenchmarkDoCPUBoundWorkV4/workers_55-12        	      74	  16211226 ns/op
BenchmarkDoCPUBoundWorkV4/workers_55-12        	      73	  15864519 ns/op
BenchmarkDoCPUBoundWorkV4/workers_55-12        	      75	  16115873 ns/op
BenchmarkDoCPUBoundWorkV4/workers_56-12        	      74	  15888720 ns/op
BenchmarkDoCPUBoundWorkV4/workers_56-12        	      75	  16293671 ns/op
BenchmarkDoCPUBoundWorkV4/workers_56-12        	      75	  15892484 ns/op
BenchmarkDoCPUBoundWorkV4/workers_57-12        	      73	  15957975 ns/op
BenchmarkDoCPUBoundWorkV4/workers_57-12        	      74	  16238092 ns/op
BenchmarkDoCPUBoundWorkV4/workers_57-12        	      73	  15943123 ns/op
BenchmarkDoCPUBoundWorkV4/workers_58-12        	      75	  15913603 ns/op
BenchmarkDoCPUBoundWorkV4/workers_58-12        	      68	  16217626 ns/op
BenchmarkDoCPUBoundWorkV4/workers_58-12        	      75	  15938789 ns/op
BenchmarkDoCPUBoundWorkV4/workers_59-12        	      75	  16307799 ns/op
BenchmarkDoCPUBoundWorkV4/workers_59-12        	      75	  15880389 ns/op
BenchmarkDoCPUBoundWorkV4/workers_59-12        	      74	  15836011 ns/op
BenchmarkDoCPUBoundWorkV4/workers_60-12        	      75	  16240149 ns/op
BenchmarkDoCPUBoundWorkV4/workers_60-12        	      75	  15886996 ns/op
BenchmarkDoCPUBoundWorkV4/workers_60-12        	      74	  16084649 ns/op
BenchmarkDoCPUBoundWorkV4/workers_61-12        	      63	  16096060 ns/op
BenchmarkDoCPUBoundWorkV4/workers_61-12        	      76	  15892886 ns/op
BenchmarkDoCPUBoundWorkV4/workers_61-12        	      75	  16306671 ns/op
BenchmarkDoCPUBoundWorkV4/workers_62-12        	      75	  15921352 ns/op
BenchmarkDoCPUBoundWorkV4/workers_62-12        	      75	  15869075 ns/op
BenchmarkDoCPUBoundWorkV4/workers_62-12        	      74	  16259299 ns/op
BenchmarkDoCPUBoundWorkV4/workers_63-12        	      73	  15952004 ns/op
BenchmarkDoCPUBoundWorkV4/workers_63-12        	      73	  16002318 ns/op
BenchmarkDoCPUBoundWorkV4/workers_63-12        	      62	  16194394 ns/op
BenchmarkDoCPUBoundWorkV4/workers_64-12        	      73	  15881467 ns/op
BenchmarkDoCPUBoundWorkV4/workers_64-12        	      74	  16253242 ns/op
BenchmarkDoCPUBoundWorkV4/workers_64-12        	      75	  15911743 ns/op
BenchmarkDoCPUBoundWorkV4/workers_65-12        	      75	  15827209 ns/op
BenchmarkDoCPUBoundWorkV4/workers_65-12        	      75	  16207000 ns/op
BenchmarkDoCPUBoundWorkV4/workers_65-12        	      75	  15953776 ns/op
BenchmarkDoCPUBoundWorkV4/workers_66-12        	      75	  15922564 ns/op
BenchmarkDoCPUBoundWorkV4/workers_66-12        	      70	  16261456 ns/op
BenchmarkDoCPUBoundWorkV4/workers_66-12        	      74	  16429376 ns/op
BenchmarkDoCPUBoundWorkV4/workers_67-12        	      68	  17772356 ns/op
BenchmarkDoCPUBoundWorkV4/workers_67-12        	      70	  15998380 ns/op
BenchmarkDoCPUBoundWorkV4/workers_67-12        	      75	  15843120 ns/op
BenchmarkDoCPUBoundWorkV4/workers_68-12        	      73	  16228711 ns/op
BenchmarkDoCPUBoundWorkV4/workers_68-12        	      75	  15866907 ns/op
BenchmarkDoCPUBoundWorkV4/workers_68-12        	      75	  15884891 ns/op
